Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,modules.nmodules,callbacks.ncallbacks,callbacks.ngeneric,Class
Benign,45,17,10.55555556,202.8444444,1694,38.5,9129,212.3023256,53,95,53,0.030372493,0.054441261,0.030372493,138,87,8,Benign
Benign,47,19,11.53191489,242.2340426,2074,44.12765957,11385,242.2340426,77,123,77,0.036167215,0.057773603,0.036167215,138,87,8,Benign
Benign,40,14,14.725,288.225,1932,48.3,11529,288.225,51,89,51,0.026113671,0.045570917,0.026113671,137,88,8,Benign
Benign,32,13,13.5,264.28125,1445,45.15625,8457,264.28125,31,62,31,0.021483021,0.042966043,0.021483021,138,88,8,Benign
Benign,42,16,11.45238095,281.3333333,2067,49.21428571,11816,281.3333333,102,143,102,0.047819972,0.067041725,0.047819972,138,87,8,Benign
Benign,40,12,13.8,306.95,2082,52.05,12278,306.95,76,113,76,0.036573628,0.054379211,0.036573628,138,88,8,Benign
Benign,43,13,13.81395349,305.0232558,2169,50.44186047,13116,305.0232558,70,111,70,0.032833021,0.05206379,0.032833021,138,88,8,Benign
Benign,42,16,11.45238095,281.4047619,2067,49.21428571,11819,281.4047619,102,143,102,0.047819972,0.067041725,0.047819972,138,87,8,Benign
Benign,42,16,11.45238095,281.2619048,2067,49.21428571,11813,281.2619048,102,143,102,0.047819972,0.067041725,0.047819972,138,87,8,Benign
Benign,40,12,13.875,308,2082,52.05,12320,308,76,113,76,0.036573628,0.054379211,0.036573628,138,88,8,Benign
Benign,40,12,12.85,292.9413726,1985,49.625,11717,292.9413726,64,100,64,0.033126294,0.051759834,0.033126294,138,88,8,Benign
Spyware,32,13,10.6875,184.75,1171,36.59375,5912,184.75,36,67,36,0.029850746,0.055555556,0.029850746,137,88,8,Malware
Spyware,32,13,10.34375,182.59375,1171,36.59375,5843,182.59375,36,67,36,0.029850746,0.055555556,0.029850746,137,88,8,Malware
Spyware,32,13,10.3125,182.25,1171,36.59375,5832,182.25,36,67,36,0.029850746,0.055555556,0.029850746,137,88,8,Malware
Spyware,31,13,10.87096774,194.7741935,1183,38.16129032,6038,194.7741935,38,69,38,0.031147541,0.056557377,0.031147541,137,88,8,Malware
Spyware,34,13,10.88235294,203.2352941,1291,37.97058824,6910,203.2352941,38,71,38,0.028614458,0.053463855,0.028614458,138,88,8,Malware
Spyware,36,14,10.61111111,213.75,1400,38.88888889,7695,213.75,41,76,41,0.028472222,0.052777778,0.028472222,138,88,8,Malware
Spyware,36,14,10.41666667,213.5833333,1404,39,7689,213.5833333,41,76,41,0.028393352,0.052631579,0.028393352,138,88,8,Malware
Spyware,35,14,11.6,184.4571429,1253,35.8,6456,184.4571429,37,71,37,0.028704422,0.055081458,0.028704422,137,88,8,Malware
Spyware,37,14,9.72972973,196.1081081,1390,37.56756757,7256,196.1081081,40,76,40,0.027991603,0.053184045,0.027991603,138,88,8,Malware
Spyware,35,14,11.6,185.5714286,1255,35.85714286,6495,185.5714286,38,72,38,0.029411765,0.055727554,0.029411765,137,88,8,Malware
Spyware,35,14,10.45714286,178.9714286,1255,35.85714286,6264,178.9714286,38,72,38,0.029411765,0.055727554,0.029411765,137,88,8,Malware
Ransomware,39,15,11.41025641,220.5897436,1562,40.05128205,8603,220.5897436,47,85,47,0.029228856,0.052860697,0.029228856,138,87,8,Malware
Ransomware,37,15,10.13513514,214.6486486,1445,39.05405405,7942,214.6486486,42,78,42,0.028826356,0.05353466,0.028826356,138,87,8,Malware
Ransomware,39,15,10.74358974,217.4102564,1551,39.76923077,8479,217.4102564,47,85,47,0.029430182,0.053224796,0.029430182,138,87,8,Malware
Ransomware,41,16,10.12195122,210.1707317,1614,39.36585366,8617,210.1707317,46,86,46,0.027727547,0.051838457,0.027727547,138,87,8,Malware
Ransomware,40,16,9.875,208.65,1556,38.9,8346,208.65,45,84,45,0.0281602,0.052565707,0.0281602,138,87,8,Malware
Ransomware,40,16,9.825,208.375,1556,38.9,8335,208.375,46,85,46,0.028858218,0.053324969,0.028858218,138,87,8,Malware
Ransomware,39,15,10,212.025641,1529,39.20512821,8269,212.025641,44,83,44,0.028205128,0.053205128,0.028205128,138,87,8,Malware
Ransomware,38,15,9.789473684,209.4210526,1446,38.05263158,7959,215.1081081,42,78,42,0.028668942,0.053242321,0.028668942,138,87,8,Malware
Ransomware,37,15,10.05405405,214.7567568,1445,39.05405405,7946,214.7567568,42,78,42,0.028767123,0.053424658,0.028767123,138,87,8,Malware
Ransomware,37,15,10.18918919,214.7837838,1445,39.05405405,7947,214.7837838,42,78,42,0.028806584,0.053497942,0.028806584,138,87,8,Malware
Ransomware,44,16,10.68181818,209.3181818,1716,39,9211,214.2093023,54,96,54,0.030542986,0.054298643,0.030542986,138,86,8,Malware
Ransomware,44,16,10.68181818,209.3181818,1716,39,9211,214.2093023,54,96,54,0.030542986,0.054298643,0.030542986,138,86,8,Malware